"Nazwa";"Typ";"Latitude";"Longitude"
"Delikatesy Mini";"supermarket";"54.3304359";"18.6074032"
"Max & Xavier";"supermarket";"54.4427392";"18.4162944"
"Auchan";"supermarket";"54.4967259";"18.5404157"
"Biedronka";"supermarket";"54.4103436";"18.573008"
"Stokrotka";"supermarket";"54.3114344";"18.5968878"
"Lidl";"supermarket";"54.4096493";"18.5683233"
"Eurospar";"supermarket";"54.3485773";"18.644142"
"Lidl";"supermarket";"54.3935028";"18.4035701"
"123market.pl";"supermarket";"54.485833";"18.4317255"
"Brak nazwy";"supermarket";"54.3984768";"18.6094804"
"Delikatesy Fart";"supermarket";"54.2609888";"18.625502"
"Biedronka";"supermarket";"54.3830897";"18.5922132"
"Biedronka";"supermarket";"54.4122189";"18.5865321"
"Delikatesy Centrum";"supermarket";"54.2696231";"18.6100005"
"Stokrotka";"supermarket";"54.4128508";"18.5976274"
"Biedronka";"supermarket";"54.3540676";"18.606916"
"Biedronka";"supermarket";"54.3935015";"18.402054"
"Mercus";"supermarket";"54.4572058";"18.534704"
"Sieć 34";"supermarket";"54.4936991";"18.5496717"
"Carrefour";"supermarket";"54.3827461";"18.6006806"
"Max & Xavier";"supermarket";"54.4725369";"18.5150986"
"ALDI";"supermarket";"54.3555579";"18.6141783"
"ALDI";"supermarket";"54.3554831";"18.649445"
"Netto";"supermarket";"54.3566278";"18.6486052"
"EkoSopot";"supermarket";"54.4378152";"18.5712527"
"Intermarché";"supermarket";"54.3899413";"18.6104913"
"Lewiatan";"supermarket";"54.3494109";"18.612604"
"Merkus";"supermarket";"54.3827278";"18.6045825"
"Stokrotka Market";"supermarket";"54.3337694";"18.5425754"
"Biedronka";"supermarket";"54.3939582";"18.6441654"
"Delikatesy Fart";"supermarket";"54.2752796";"18.4760347"
"Lewiatan";"supermarket";"54.2694102";"18.4658782"
"Auchan";"supermarket";"54.3717795";"18.5194153"
"Biedronka";"supermarket";"54.4194269";"18.4694767"
"Netto";"supermarket";"54.4102131";"18.6002976"
"Merkus";"supermarket";"54.4675013";"18.4876321"
"Netto";"supermarket";"54.2676379";"18.6267108"
"Stokrotka Market";"supermarket";"54.4989161";"18.5080932"
"Stokrotka Market";"supermarket";"54.40648";"18.5843856"
"Biedronka";"supermarket";"54.3966741";"18.6053752"
"Sklep Po Drodze limonka";"supermarket";"54.3639053";"18.4345911"
"ALDI";"supermarket";"54.4972553";"18.4374404"
"Biedronka";"supermarket";"54.3603981";"18.5911574"
"ALDI";"supermarket";"54.3580834";"18.5822656"
"Merkus";"supermarket";"54.3928551";"18.5962922"
"Dino";"supermarket";"54.302059";"18.5905632"
"Market Kami";"supermarket";"54.4996495";"18.5056894"
"Eurospar";"supermarket";"54.4046611";"18.588443"
"Aldi";"supermarket";"54.4423916";"18.5576463"
"Stokrotka";"supermarket";"54.489139";"18.4275691"
"Drogeria abcKosmetyczne.pl";"supermarket";"54.3929747";"18.6444449"
"Biedronka";"supermarket";"54.4615125";"18.4504777"
"Biedronka";"supermarket";"54.3281736";"18.6115793"
"Max & Xavier";"supermarket";"54.2736457";"18.5832812"
"Biedronka";"supermarket";"54.431792";"18.4705912"
"Centrum Medyczne Kardiotel";"clinic";"54.4335931";"18.5672077"
"Blikpol";"clinic";"54.4446093";"18.5659864"
"LUXMED";"clinic";"54.3648117";"18.6357133"
"Medycyna Rodzinna";"clinic";"54.3341968";"18.591511"
"Kalina";"clinic";"54.3522927";"18.5136521"
"Oddział Reumatologiczny";"clinic";"54.4447578";"18.5696349"
"przychodnia przyszpitalna";"clinic";"54.3501781";"18.6351745"
"Klinika Medycyny Hiperbarycznej";"clinic";"54.4888281";"18.5503388"
"Zakład Balneologii / Rehabilitacji";"clinic";"54.4452435";"18.5701006"
"Wielospecjalistyczny Oddział Zabiegowy";"clinic";"54.3521803";"18.6356032"
"Klinika Ginekologii";"clinic";"54.3654466";"18.6217575"
"Klinika Położnictwa";"clinic";"54.3655783";"18.6222328"
"Klinika Neonatologii";"clinic";"54.3655868";"18.6226858"
"ZOZ Trójmiejskie Centrum Medyczne";"clinic";"54.3818277";"18.6113303"
"K2 Medical & Dental Clinic";"clinic";"54.3838878";"18.6081778"
"Profim";"clinic";"54.3785714";"18.6078041"
"Wielospecjalistyczna Przychodnia Lekarze Specjaliści";"clinic";"54.3552353";"18.6473549"
"Psychotalerz";"clinic";"54.4993405";"18.4396275"
"Pure Perfection";"clinic";"54.4998696";"18.4326456"
"RCKiK w Gdańsku OT Gdynia";"clinic";"54.4884869";"18.5494663"
"Mała Klinika";"clinic";"54.3478598";"18.6164845"
"Podolog Letnica. Magdalena Kosecka";"clinic";"54.395259";"18.6431362"
"Przychodnia STARMED Letnica";"clinic";"54.3940921";"18.6468261"
"VitalMed Clinic";"clinic";"54.3942106";"18.6467781"
"Przychodnia ETERMED";"clinic";"54.2750971";"18.5783468"
"Dekerta";"clinic";"54.3813424";"18.5980688"
"SOR";"clinic";"54.3511674";"18.6388434"
"Novum Medica";"clinic";"54.4307854";"18.4783231"
"NZOZ Cor-Gyn";"clinic";"54.3799288";"18.5986225"
"Morenova Klinika";"clinic";"54.3507569";"18.5881691"
"Wyspa Medycyny Przyjaznej";"clinic";"54.3422286";"18.6547713"
"Klinika Bałtycka";"clinic";"54.3963994";"18.6439934"
"Royal Med Clinic";"clinic";"54.4808385";"18.5523285"
"Bianco Clinic";"clinic";"54.465666";"18.4601976"
"Niepubliczny Zakład Opieki Zdrowotnej ""Stogi""";"clinic";"54.3611244";"18.7136965"
"Klinika Psychiatrii Dorosłych";"clinic";"54.3663055";"18.6223862"
"NZOZ Przychodnia Morena";"clinic";"54.3583657";"18.5860152"
"Good Life Clinic";"clinic";"54.3394149";"18.5557772"
"Alfa Clinic";"clinic";"54.3514086";"18.551277"
"Audika";"clinic";"54.3911043";"18.5905371"
"Jutro Medical";"clinic";"54.3766653";"18.6126154"
"Nowy Chełm";"clinic";"54.4479754";"18.5437664"
"Bona Centrum Zdrowia";"clinic";"54.4032419";"18.5818004"
"Centrum Medyczne Smoluchowskiego";"hospital";"54.3642847";"18.6175719"
"Starogardzka 01";"stop_position";"54.301894";"18.6082389"
"Czapielsk, Skrzyżowanie";"stop_position";"54.2636215";"18.4282819"
"Kmicica (NŻ)";"stop_position";"54.4990118";"18.415854"
"Leźno, Remiza";"stop_position";"54.3476074";"18.4373393"
"Miszewskiego 02";"stop_position";"54.3757843";"18.6151527"
"Klonowa";"stop_position";"54.3798817";"18.6030332"
"Galeria Bałtycka 02";"stop_position";"54.3820718";"18.5989616"
